序号	公司名	证券代码	报告年份	报告标题	官方来源URL	来源类型	下载时间	本地文件名	文件大小字节	页数	PDF_SHA256	规范化文本指纹	MinerU解析方式	解析状态	输出目录
17	深圳华侨城A	000069.SZ	2024	深圳华侨城股份2024年度环境社会及治理报告	https://static.cninfo.com.cn/finalpage/2025-03-29/1222949828.PDF	CNINFO	2026-08-31T12:59:54+08:00	第4批次_17_深圳华侨城A.pdf	12178821	44	8c8d2a13cdaf37a3fe0f01b40125fba0e862a22dbe5163eedf550fd3a941aed8	d31b5e7bcba35d735f6dbc2aad27edc1eb35902fa7b4d8df9586bfd4e13201eb	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_17_深圳华侨城A
18	移远通信	603236.SH	2024	移远通信2024年度环境社会及治理报告	https://static.cninfo.com.cn/finalpage/2025-04-24/1223241745.PDF	CNINFO	2026-08-31T13:00:30+08:00	第4批次_18_移远通信.pdf	29420453	68	7fcd7c764b7d20d5c3eb4881e1f6e7bb3708f218965261d54218dc26a2fdd816	9c892d396c268821aadd90466f584584c7fed79f217fd80b23718d686421a268	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_18_移远通信
19	紫金矿业	601899.SH	2024	紫金矿业2024年度可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-03-22/1222870414.PDF	CNINFO	2026-08-31T13:01:28+08:00	第4批次_19_紫金矿业.pdf	33054817	130	96c83319125937ef7329cbd6aa19da0d5c20b0ad4fc9b4a97606bcdb1d13146f	e0c247fea85d09877f2fbd43c72cefdddaca32cca0ed47d45788c10c530a1fb2	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_19_紫金矿业
20	中芯国际	688981.SH	2024	中芯国际2024年度环境社会及治理报告	https://static.cninfo.com.cn/finalpage/2025-03-28/1222925664.PDF	CNINFO	2026-08-31T13:02:18+08:00	第4批次_20_中芯国际.pdf	9211479	96	92b8ef1de1f7a2eae8d0e5ac33173fb691ee85cbafe3b5d2cd66e248a480850f	ddd261e663424544bb00e32112fa3abc9635967c3edcaab74ee3f983ef977f01	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_20_中芯国际
21	中兴通讯	000063.SZ	2024	中兴通讯2024年度可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-03-01/1222675740.PDF	CNINFO	2026-08-31T13:02:52+08:00	第4批次_21_中兴通讯.pdf	8134516	126	03f95276b4a7c8e7b6e009ae0b66bee8f89b205ba2cf46d09b7aea4f1a72d570	3c533efcbcec0e443ccdfd4628378c0a9d86a0d537cf0634f41a08d1d56a08f7	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_21_中兴通讯
22	中信金属	601061.SH	2024	中信金属2024年度环境社会及治理报告	https://static.cninfo.com.cn/finalpage/2025-04-25/1223277566.PDF	CNINFO	2026-08-31T13:03:52+08:00	第4批次_22_中信金属.pdf	24688508	64	a500210efd68a9ba77b7b73135dfb60c89ce20b72ae098bfe54d28ef01e14a25	f7456cf225fc5b40c41eb999a6cdbe0db36edf73a34f13292ee9d8db4a270776	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_22_中信金属
23	北京键凯科技	688356.SH	2024	北京键凯科技2024年社会责任报告	https://static.cninfo.com.cn/finalpage/2025-04-29/1223381318.PDF	CNINFO	2026-08-31T13:04:49+08:00	第4批次_23_北京键凯科技.pdf	4862829	42	872f6aedc6400c4085ba787add2e59847910533613f7d15f0660c162068e4f0e	bd5c30addcc7680ade34a88923a9e9f4ff1bb3174b9148d451c7f4b175bf5161	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_23_北京键凯科技
24	东吴证券	601555.SH	2024	东吴证券2024年度可持续发展报告	https://dataclouds.cninfo.com.cn/shgonggao/2025/2025-04-26/5d570d2a21b411f0a21efa163e957f7a.pdf	CNINFO	2026-08-31T13:05:23+08:00	第4批次_24_东吴证券.pdf	11849314	62	b8b6a2246672ed4a94b9adcea90180428b8b79e907820495645a70b89ec0c22d	3a3b7afdeee06e4b8ed17c874c5e8cb60ac735c4c0021d129265ce90a33ef4af	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_24_东吴证券
25	中国长江电力	600900.SH	2024	长江电力2024年度环境社会和治理报告	https://static.cninfo.com.cn/finalpage/2025-04-30/1223421180.PDF	CNINFO	2026-08-31T13:06:04+08:00	第4批次_25_中国长江电力.pdf	1754021	131	5e5369fd0643d228299ef51bf79a218750a6fb9d22f0068ead477747f02461d1	ae5ce052a2fad0001a00773e6b6d2b2b8a8ef51b23a2027b08514ad4a29855b7	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_25_中国长江电力
26	圣元环保	300867.SZ	2024	圣元环保2024年度可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-04-18/1223125050.PDF	CNINFO	2026-08-31T13:06:54+08:00	第4批次_26_圣元环保.pdf	6454233	41	998bb1c8118d42b972c519a87c2af170ff7498c43d214a438e7e8e0185d90ff9	c723c9dd514d0559064ec4fcf00f1ee7bdca387d1a4a3d92419675a298c51a69	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_26_圣元环保
