序号	公司名	证券代码	报告年份	报告标题	官方来源URL	来源类型	下载时间	本地文件名	文件大小字节	页数	PDF_SHA256	规范化文本指纹	MinerU解析方式	解析状态	输出目录
13	三雄极光	300625.SZ	2024	环境、社会及治理（ESG)报告	https://static.cninfo.com.cn/finalpage/2025-04-26/1223329829.PDF	CNINFO	2026-09-04T08:18:50+08:00	第5批次_13_三雄极光.pdf	91354775	59	8d681ec11d802c8e82de624c88231f404729c8394b8f58712e2448884fe8dbe1	3ed51cefed3c12da5cd9c3a868abb62d33eef81827c426eb63db63fefd497357	pipeline-txt	success_api_gpu	pdf_text/batch-05/300625.SZ
14	西部创业	000557.SZ	2024	本报告为年度报告 ， 每年发布一次 。 报告期间为 2024 年 1 月 1 日至 2024 年 12 月 31 日 。 为增强报告的	https://static.cninfo.com.cn/finalpage/2025-04-25/1223265162.PDF	CNINFO	2026-09-04T08:19:08+08:00	第5批次_14_西部创业.pdf	90760531	63	f0eaa95b1dbf8ebeef6f1b0967983f8013a166155895117ff6ba3e5868e94d72	f173e746ddaed3bd560617e45e5f9143a106b62ee60f6896ae407739f6fc0bd2	pipeline-txt	success_api_gpu	pdf_text/batch-05/000557.SZ
15	麦捷科技	300319.SZ	2024	社会及公司治理报告》（简称“ESG报告”或“本报告”），旨在向公司的股东及投资者、地方政府及监管机构、员	https://static.cninfo.com.cn/finalpage/2025-03-28/1222927755.PDF	CNINFO	2026-09-04T08:19:23+08:00	第5批次_15_麦捷科技.pdf	88994844	47	67af0183fcdee68c2a08b190fbb229e0f1e9a4e8702b4bb4fed09dc9bd782fd9	194ea6fcace554b3c86c449b9346767fb657efedb76079972e0d04b542825aa0	pipeline-txt	success_api_gpu	pdf_text/batch-05/300319.SZ
16	海阳科技	603382.SH	2024	(ESG)报告	https://static.cninfo.com.cn/finalpage/2025-12-04/1224848875.PDF	CNINFO	2026-09-04T08:19:38+08:00	第5批次_16_海阳科技.pdf	87674333	90	7f1d10cefe00cb4388591483bc332c5219f6c2ca951d39d604534350118d9b4b	aab3c428225f0cf8b34c4ec1d7c9ea9a1730a77ece4e234d6ff809862787f21a	pipeline-txt	success_api_gpu	pdf_text/batch-05/603382.SH
17	通行宝	301339.SZ	2024	报告 (ESG) 2024	https://static.cninfo.com.cn/finalpage/2025-03-28/1222924946.PDF	CNINFO	2026-09-04T08:20:19+08:00	第5批次_17_通行宝.pdf	86893824	53	5cfe292027a90c037e101b72940dd354da3669d7dcc53bf46ab1ef400decaf32	7e8f91eb265a4bd8be3988872e818922391517bcf9a4adc75abc1d0c2ee4fd0b	pipeline-txt	success_api_gpu	pdf_text/batch-05/301339.SZ
18	深圳瑞捷	300977.SZ	2024	环境、社会及公司治理报告	https://static.cninfo.com.cn/finalpage/2025-04-10/1223044501.PDF	CNINFO	2026-09-04T08:25:30+08:00	第5批次_18_深圳瑞捷.pdf	84615049	62	e867ad003f9f7e668a42f683acaf16ad7f876e293731edf037ff55113852df65	dd4e84f32782a8858124e839dd69741fec0257b6c4d73a811b8344c8607df867	pipeline-txt	success_api_gpu	pdf_text/batch-05/300977.SZ
19	川宁生物	301301.SZ	2024	治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-22/1223192664.PDF	CNINFO	2026-09-04T08:25:52+08:00	第5批次_19_川宁生物.pdf	83404625	80	946c9820a48ac51e49894a3f0946980f435ee08087c11c4534021cbea7e55a91	1835d7c4fc8afa3a8ded64eac1e0ca65e10aa0719351fc3f5e0519c8e2a36d95	pipeline-txt	success_api_gpu	pdf_text/batch-05/301301.SZ
20	新锦动力	300157.SZ	2024	环境、社会及公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-26/1223317934.PDF	CNINFO	2026-09-04T08:27:20+08:00	第5批次_20_新锦动力.pdf	80990574	45	15033b9d328f4e56e6b6ccf681836c4a5b00a64f02a2037c4b9a4f3c63bf1d42	5111c0413ba86af9bf47317a528a6963b340c497caabcb76b5cb267cab851abe	pipeline-txt	success_api_gpu	pdf_text/batch-05/300157.SZ
21	老板电器	002508.SZ	2024	和公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-29/1223374545.PDF	CNINFO	2026-09-04T08:27:31+08:00	第5批次_21_老板电器.pdf	79580265	66	59630da19ae5779bfbccd67878eaedcc7de996068af6e9f032dd16b28965adec	784d87ec4f4faf34519d2c3cd57a6f646a1c744174c6fb889711962fb1f69b50	pipeline-txt	success_api_gpu	pdf_text/batch-05/002508.SZ
22	中金岭南	000060.SZ	2024	环境、 社会及治理 （ESG） 报告	https://static.cninfo.com.cn/finalpage/2025-04-15/1223094690.PDF	CNINFO	2026-09-04T08:27:40+08:00	第5批次_22_中金岭南.pdf	79179711	44	d3595056a101175649c0737fff4ca099fcf24497e3b2bc86094b3a9db881397d	c4ab6c1091ea7c3b32bbd1d999083cba3c1d700d6e01ce1ed481961c302ae276	pipeline-txt	success_api_gpu	pdf_text/batch-05/000060.SZ
23	华蓝集团	301027.SZ	2024	社会责任报告	https://static.cninfo.com.cn/finalpage/2025-06-30/1224036270.PDF	CNINFO	2026-09-04T08:27:53+08:00	第5批次_23_华蓝集团.pdf	78953880	43	accb270ef2f32564943fc0de9f43becec4de875ab6d40ca9022d4c6bedc42576	c3f08f6cbf883d7583271e35b210e4d50cfdaed24333f75c0ee5641fd6f02833	pipeline-txt	success_api_gpu	pdf_text/batch-05/301027.SZ
24	天禾股份	002999.SZ	2024	环境、社会和公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-30/1223436294.PDF	CNINFO	2026-09-04T08:28:18+08:00	第5批次_24_天禾股份.pdf	78510690	47	392b3ffd463935c69b90ea8d69f9d4388c08d2bee0c74bfeb9175ee3b323d239	6122e3785e1347365401b82f63df5d70e3278e1d73c0d588af8842f381800ac5	pipeline-txt	success_api_gpu	pdf_text/batch-05/002999.SZ
25	盐津铺子	002847.SZ	2024	环境、社会及公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-23/1223213803.PDF	CNINFO	2026-09-04T08:28:28+08:00	第5批次_25_盐津铺子.pdf	75626913	62	201447e8e875dbe44844e17d5a8f1855d419d15d2d1ffa18bbe3a8c1510510d1	44cdbfdef8afed64819afa51b139b52355af5cd0a1448685a8ef876582ceac60	pipeline-txt	success_api_gpu	pdf_text/batch-05/002847.SZ
26	好想你	002582.SZ	2024	年度环境、社会及公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-24/1223246169.PDF	CNINFO	2026-09-04T08:28:49+08:00	第5批次_26_好想你.pdf	75364523	31	ada390a803b7cd6484ce769458af32a3b70f12dccab2df6102379a22507beaa7	ab76eb83bec3efc457190258f9ef6eb77af42335aa4e42c922c74affb6129533	pipeline-txt	success_api_gpu	pdf_text/batch-05/002582.SZ
27	铜陵有色	000630.SZ	2024	本报告为年度报告，是铜陵有色向社会公开发布的第 2 份 ESG 报告，此前已累计发布 16 份社会责任报告。	https://static.cninfo.com.cn/finalpage/2025-04-23/1223216434.PDF	CNINFO	2026-09-04T08:30:42+08:00	第5批次_27_铜陵有色.pdf	73523399	53	3fd3a12504da57034fc89a50b776b55f0f14c9e37a2eaee47d022fdf48db0fca	6a2858ceb0b78e198e7f2e74d19501ad64b9928efb2b66feb7f22885f644b1d7	pipeline-txt	success_api_gpu	pdf_text/batch-05/000630.SZ
28	东鹏控股	003012.SZ	2024	环境、社会及管治（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-26/1223302901.PDF	CNINFO	2026-09-04T08:37:12+08:00	第5批次_28_东鹏控股.pdf	68374508	72	b24bb72dc11989ea1bbfd6c8cdb5aac0a1d05b09d124cf446e7d0b880a2ca88f	5537ac13c3f4e6596a2198666f1401264fabd32718575aba185d57949a9586a0	pipeline-txt	success_api_gpu	pdf_text/batch-05/003012.SZ
29	新开源	300109.SZ	2024	关于本报告 董事长致辞 走进新开源新开源医疗 2024 年度环境 、社 会 和 公 司 治 理（ESG) 报告	https://static.cninfo.com.cn/finalpage/2025-04-19/1223143335.PDF	CNINFO	2026-09-04T08:37:23+08:00	第5批次_29_新开源.pdf	68260660	38	7a959bb028daca984e1a34fe6f8800ef784c18d9c7924142692b7bfb10623944	367c8a9bea553eb5d06b698eea0e8d38e90013d63d25ee45ee4a77b498f81802	pipeline-txt	success_api_gpu	pdf_text/batch-05/300109.SZ
30	汉朔科技	301275.SZ	2024	一般而言， 报告中定性及定量信息的时间范围覆盖2024年1月	https://static.cninfo.com.cn/finalpage/2025-04-25/1223277476.PDF	CNINFO	2026-09-04T08:37:53+08:00	第5批次_30_汉朔科技.pdf	67414693	53	e66705dc1d63137b0404d96fc320c5dcd986e49bb5ce8a86f85bf2876d4847ed	61633e3c73f753a214fde54f9daa0201eddc8d84b0a4347bfc968d86343a5692	pipeline-txt	success_api_gpu	pdf_text/batch-05/301275.SZ
31	海能实业	300787.SZ	2024	环境、社会和公司治理 (ESG) 报告	https://static.cninfo.com.cn/finalpage/2025-04-24/1223245077.PDF	CNINFO	2026-09-04T08:38:03+08:00	第5批次_31_海能实业.pdf	67202613	44	665cafca7f5a4daae0a08170375efbc8144cd00927a8e82e3ebd92009e49d72c	1083aa14e462d35db1339f846ea6a577247e1fa96043b670f4251b0edb59b711	pipeline-txt	success_api_gpu	pdf_text/batch-05/300787.SZ
32	视源股份	002841.SZ	2024	视源股份2024年ESG报告	https://static.cninfo.com.cn/finalpage/2025-06-03/1223736289.PDF	CNINFO	2026-09-04T08:41:25+08:00	第5批次_32_视源股份.pdf	66354095	65	912517c4e13a7ef8eb795bfa1838705a7e951a7bc9c7903e8adb9cc99ddf7b98	e883ebcbd3a4cae8b5ac9241f7c2afca28a48bb7a6c004dd52a987f3ebf0da6a	pipeline-txt	success_api_gpu	pdf_text/batch-05/002841.SZ
33	海格通信	002465.SZ	2024	环境、社会及治理(ESG)报告	https://static.cninfo.com.cn/finalpage/2025-03-29/1222948696.PDF	CNINFO	2026-09-04T08:41:43+08:00	第5批次_33_海格通信.pdf	65011461	66	5435a452e494307230757b5fd8546c3bed59d063f9ee3fcb710d88c21146462f	d2211d25439e37c036ddc3ebf9dc0d49d7b80dc9d1c8199987b3a69ec57de27f	pipeline-txt	success_api_gpu	pdf_text/batch-05/002465.SZ
34	智迪科技	301503.SZ	2024	环境、社会和公司治理（ESG）报告，本报告依据客观、规范、透明和全面的原则，详	https://static.cninfo.com.cn/finalpage/2025-04-29/1223363227.PDF	CNINFO	2026-09-04T08:45:59+08:00	第5批次_34_智迪科技.pdf	64654472	64	e4e6243117d3bcabc1a8cb864839e69cf8d00f1f27e1e5e3e99222661a2668ed	21c0e771e9b9a7eeb1e6994d271eb88d6a1da8d62a96adb0e57cbc6faed15bbb	pipeline-txt	success_api_gpu	pdf_text/batch-05/301503.SZ
35	通裕重工	300185.SZ	2024	2024 年 1 月 1 日至 2024 年 12 月 31 日。为增强报告的可比性和前瞻性，部分内容有所延展。	https://static.cninfo.com.cn/finalpage/2025-04-29/1223372007.PDF	CNINFO	2026-09-04T08:46:08+08:00	第5批次_35_通裕重工.pdf	62911038	86	9042ea49a270a0c902cd2134be02f931c1655cbb92206589a56ca1b9fcbfaa9e	0db4001d319cea1d4debfe75ebbd058d41b9abba437dc4142df6448aa1963103	pipeline-txt	success_api_gpu	pdf_text/batch-05/300185.SZ
36	今天国际	300532.SZ	2024	2024年度环境、 社会及公司治理 （ESG） 报告	https://static.cninfo.com.cn/finalpage/2025-04-29/1223377580.PDF	CNINFO	2026-09-04T08:46:18+08:00	第5批次_36_今天国际.pdf	62840249	55	c1f88aff13a14528a055826368cce4550c87b415834d7bb8dd69c1da11e443f3	f55c366b8097d5bd6c19f0a4cbe8bebfb18065eb853f8b357cbce5c3b6b07c6e	pipeline-txt	success_api_gpu	pdf_text/batch-05/300532.SZ
37	ST得润	002055.SZ	2024	环境、社会和公司治理报告	https://static.cninfo.com.cn/finalpage/2025-04-29/1223388605.PDF	CNINFO	2026-09-04T08:46:35+08:00	第5批次_37_ST得润.pdf	62656236	52	c728c86b477934b6316ac88d92d573f165878311980bc24c6fd18db7cce81137	d5555e401d1bda5c9366b84d0db998e5daee323933c95c224c0111d3d737befc	pipeline-txt	success_api_gpu	pdf_text/batch-05/002055.SZ
38	江苏华辰	603097.SH	2024	持续发展报告指南》（CASS-ESG 6.0）要求进行编制。	https://static.cninfo.com.cn/finalpage/2025-04-29/1223361358.PDF	CNINFO	2026-09-04T08:46:47+08:00	第5批次_38_江苏华辰.pdf	62599469	57	06fff375774f490073fa952fb456a5a6392ef1bfeee8d7d693ee8f7e38f62dca	a1860fd9ba6100c6b5204bfeab85005e48a59c63fd9730f63fa472a6110dfda7	pipeline-txt	success_api_gpu	pdf_text/batch-05/603097.SH
39	申华控股	600653.SH	2024	关于本报告2024年度环境、社会及公司治理(ESG)报告	https://static.cninfo.com.cn/finalpage/2025-03-29/1222951419.PDF	CNINFO	2026-09-04T08:46:55+08:00	第5批次_39_申华控股.pdf	62583482	47	4164c8c60632aa35867c68528ca9f762c2a5ef486516733ea5a076ba0d60e27a	47d1a15fae94844186010c2f35842d7a693170a4a992e0b81e3d3c2087d7a926	pipeline-txt	success_api_gpu	pdf_text/batch-05/600653.SH
40	中宠股份	002891.SZ	2024	中宠股份2024年ESG报告	https://static.cninfo.com.cn/finalpage/2025-04-24/1223233435.PDF	CNINFO	2026-09-04T08:48:52+08:00	第5批次_40_中宠股份.pdf	62444741	56	68f715235832843ac6215f9a9a64b26733cde6d73e6d8373d8f582f84812fa49	422f6a7e20efce7f74c1ea047a092dc4d432c383b3079329120201208bd4f8f1	pipeline-txt	success_api_gpu	pdf_text/batch-05/002891.SZ
41	中际旭创	300308.SZ	2024	环境、社会及公司治理(ESG)报告	https://static.cninfo.com.cn/finalpage/2025-04-21/1223155509.PDF	CNINFO	2026-09-04T08:49:20+08:00	第5批次_41_中际旭创.pdf	62411338	84	12cf20571e4eb8fd41b4bac36af592608596930f16c0871464097b72318cefc9	7d4a59e4bb63c3ca39c48bc552be7581a2c96665c466e191b393976d6b62ef59	pipeline-txt	success_api_gpu	pdf_text/batch-05/300308.SZ
42	帝欧水华	002798.SZ	2024	社会和公司治理报告，本着客观、规范、透明和全面的原则，详细披露帝欧家居2024年度积极采取	https://static.cninfo.com.cn/finalpage/2025-04-26/1223332859.PDF	CNINFO	2026-09-04T08:49:36+08:00	第5批次_42_帝欧水华.pdf	62407660	46	7268858b86bc121dd139c32861f6ede87e2be41e6291da3eee14e8f1105ae9ee	781085cf4e84cc20642d959b9bc5525b3bdebab2012ecc5532b023515c075550	pipeline-txt	success_api_gpu	pdf_text/batch-05/002798.SZ
43	国际医学	000516.SZ	2024	ESG暨可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-04-23/1223215632.PDF	CNINFO	2026-09-04T08:49:59+08:00	第5批次_43_国际医学.pdf	62392203	70	9420e53d8b6a239058ba9546598263522f27a2f9b03ca51a6155fb60510664c2	9878e9bd4af157d0957f76edf632961084bbcab2168f0df64663c2ad7e10098d	pipeline-txt	success_api_gpu	pdf_text/batch-05/000516.SZ
44	江波龙	301308.SZ	2024	2024 年度环境、社会与公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-06-12/1223848629.PDF	CNINFO	2026-09-04T08:50:08+08:00	第5批次_44_江波龙.pdf	62126499	68	50e2e4a47c7c6d597694b4e22ee0383c5b1db8994c68389190a38061e7aa44f3	d5432f462f495509e0841ffbaeba7ab55cc67d73c2953ff393e799db544fd9b5	pipeline-txt	success_api_gpu	pdf_text/batch-05/301308.SZ
45	盛航股份	001205.SZ	2024	公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-26/1223301059.PDF	CNINFO	2026-09-04T08:50:19+08:00	第5批次_45_盛航股份.pdf	61760842	72	c8248a354035087f16cc91a9bfe712605a3054b930eae48dc3ce77ff79b0e0c5	63f4d4ad5ee1bca5949433de34a919d2f1aec6ad48c88a64235fb34083e1286d	pipeline-txt	success_api_gpu	pdf_text/batch-05/001205.SZ
46	阳光诺和	688621.SH	2024	环境、 社会及管治 （ESG） 报告	https://static.cninfo.com.cn/finalpage/2025-04-25/1223284625.PDF	CNINFO	2026-09-04T08:50:39+08:00	第5批次_46_阳光诺和.pdf	61645069	96	784cdf3ed92b4d3d0a28f246d300f60c215230bf436d6711f1e35dfd43b87e43	7d7b5e8ac54ad9e70283663d6e53b847fc10e12550c5ea53af44e48a1cc0af2d	pipeline-txt	success_api_gpu	pdf_text/batch-05/688621.SH
47	豪恩汽电	301488.SZ	2024	环境、 社会及治理(ESG)报告	https://static.cninfo.com.cn/finalpage/2025-04-09/1223032248.PDF	CNINFO	2026-09-04T08:50:50+08:00	第5批次_47_豪恩汽电.pdf	61554820	52	dba585556937a3e6f0ba68fd0af6e2c0b5a43dbbe811bd6962d68226d089e9d9	985ceaaa79d8875bdcc77e85876f5cb77bba48d3db259ce4a8e7ca56220cd14b	pipeline-txt	success_api_gpu	pdf_text/batch-05/301488.SZ
48	渤海股份	000605.SZ	2024	报告前言2024 年度环境、社会和公司治理 (ESG) 报告	https://static.cninfo.com.cn/finalpage/2025-04-25/1223273288.PDF	CNINFO	2026-09-04T08:50:59+08:00	第5批次_48_渤海股份.pdf	61490196	53	7af8b9d019e19eefa46775d136abc6e17038e1022c4a760c51b1962943f94760	95c8502d3ce05551c938a2bf840d23c6b387e783715c464b77c5090aeb440b24	pipeline-txt	success_api_gpu	pdf_text/batch-05/000605.SZ
49	富创精密	688409.SH	2024	环境、 社会和公司治理(ESG)报告	https://static.cninfo.com.cn/finalpage/2025-04-30/1223424603.PDF	CNINFO	2026-09-04T08:51:07+08:00	第5批次_49_富创精密.pdf	61473785	64	2087803a87b2c18323f78517cbb0da69dd424445a718eed3f5e04996bd809c7c	5b42cccb75fd1062e845eb6ca7f602297e1b760522a073b66549c425e9d00ab6	pipeline-txt	success_api_gpu	pdf_text/batch-05/688409.SH
50	亚普股份	603013.SH	2024	环境、社会和公司治理报告	https://static.cninfo.com.cn/finalpage/2025-04-29/1223356486.PDF	CNINFO	2026-09-04T08:51:16+08:00	第5批次_50_亚普股份.pdf	61403056	57	c5c32ed737c8c71870ba1c473950481e70687d8dbc37e5dfb48888a53fa7b729	6b9825606960521daccbc19f2360f33c5a3e55cfd4b662d9bf2c3ba14dc1f7c2	pipeline-txt	success_api_gpu	pdf_text/batch-05/603013.SH
