序号	公司名	证券代码	报告年份	报告标题	官方来源URL	来源类型	下载时间	本地文件名	文件大小字节	页数	PDF_SHA256	规范化文本指纹	MinerU解析方式	解析状态	输出目录
1	美的集团	000333.SZ	2024	美的集团2024年环境社会及管治报告	https://www.midea.com.cn/content/dam/mideacn-aem/%E6%8A%95%E8%B5%84%E8%80%85%E5%85%B3%E7%B3%BB/%E6%8A%95%E8%B5%84%E8%80%85%E5%85%B3%E7%B3%BB%E6%96%87%E4%BB%B6%E6%80%BB%E8%A7%88/2024%E6%96%87%E4%BB%B6/2024%E5%B9%B4%E5%BA%A6ESG%E6%8A%A5%E5%91%8A.pdf.coredownload.inline.pdf	公司官网	2026-09-04T07:51:12+08:00	第7批次_01_美的集团.pdf	31072209	79	28a9952c08593aa1a7575da1cb6e35920e5da6efbe271252cc59e8c9721ca92f	f542ac1fe523a61f4dbc5a439ad48dd66413b8f44765431fb0c908e508160650	pipeline-txt	success_api_gpu	pdf_text/batch-07/000333.SZ
2	长安汽车	000625.SZ	2024	长安汽车2024年环境、社会及治理（ESG）报告	https://www.globalchangan.com/static/clientlibs/changancms/pdf/ChangAn_Automobile_ESG_Report_2024_cn.pdf	公司官网	2026-09-04T07:51:27+08:00	第7批次_02_长安汽车.pdf	37763830	59	24785b209eab0e715f8a1a72b9fa62e5dc48801d3358c31eb5ed3080f1a5e9a5	4712dd9e0ca3e5aa2ef8cbe1cb4fbc00445e34c1910bda5d4a12820c91879e34	pipeline-txt	success_api_gpu	pdf_text/batch-07/000625.SZ
3	中国石油	601857.SH	2024	中国石油天然气集团2024年度企业社会责任报告	https://www.cnpc.com.cn/cnpc/lncbw/202505/55347d1f8d2843c79e99fd61d180067b/files/4dc524c14cd949fb941e2e16986b8fb6.pdf	公司官网	2026-09-04T07:51:33+08:00	第7批次_03_中国石油.pdf	16071236	96	4c6dc32f3176b61ac56e1e0f165df6b31c2c52dde234e149f925cfe6ea314d17	e5a64499ccff48723c2b970a9d4b3bc955984e482994d5b352ed624595c348df	pipeline-txt	success_api_gpu	pdf_text/batch-07/601857.SH
4	广哈通信	300711.SZ	2024	2024 年环境、社会及治理(ESG)报告	https://static.cninfo.com.cn/finalpage/2025-03-27/1222912199.PDF	CNINFO	2026-09-04T09:09:56+08:00	第7批次_04_广哈通信.pdf	53380884	52	caeb0fa84274ca4f03c7f78c19821176c064025c287f292206d94c51ced7c51a	404e5d51292e14024b6d60e5f1588423700bf9a30d603d2689988e770f49529a	pipeline-txt	success_api_gpu	pdf_text/batch-07/300711.SZ
5	五洲交通	600368.SH	2024	2024 年度环境、社会及公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-03-29/1222942986.PDF	CNINFO	2026-09-04T09:10:12+08:00	第7批次_05_五洲交通.pdf	53289373	58	ea1e96ee038da7bd6c24f563107e20069f6f367ad237866600fb3c8c2f674633	049a40de933c031eec720094a47c1ec8f8fde489fb5960fce02b35aaa491b1d0	pipeline-txt	success_api_gpu	pdf_text/batch-07/600368.SH
6	郑中设计	002811.SZ	2024	郑中设计2024年ESG报告	https://static.cninfo.com.cn/finalpage/2025-08-09/1224442193.PDF	CNINFO	2026-09-04T09:10:19+08:00	第7批次_06_郑中设计.pdf	53018146	87	084eb83ee82f76a6373153526ecd691162c9d518e56fd5c6ecc8d4d6da444e94	389ffad98bc3feef74b1f627d3256a6eceb87ddb0e0a8171a022e6f13271ae41	pipeline-txt	success_api_gpu	pdf_text/batch-07/002811.SZ
7	吉大通信	300597.SZ	2024	公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-25/1223277532.PDF	CNINFO	2026-09-04T09:10:36+08:00	第7批次_07_吉大通信.pdf	52921479	70	db1c10540e7b724f71a2ffb561fa4e7822fa89ebb29329c5c44bfbab4da973ba	c489a6d76d392e801893931d70955daae03362bc41f00a947f78073aa8a1d3be	pipeline-txt	success_api_gpu	pdf_text/batch-07/300597.SZ
8	莱斯信息	688631.SH	2024	环境、社会和公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-26/1223320270.PDF	CNINFO	2026-09-04T09:10:50+08:00	第7批次_08_莱斯信息.pdf	52866520	57	0147176460d743e0cb4255b0aff20bae1c784a56dec5a5e9be65ca60514c5447	078625dc5bd112d95ab83f75d621578bd3d391ab15068d8e4385d178c2f33904	pipeline-txt	success_api_gpu	pdf_text/batch-07/688631.SH
9	首创证券	601136.SH	2024	关于本报告2024 年度环境、社会及公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-12/1223071807.PDF	CNINFO	2026-09-04T09:11:20+08:00	第7批次_09_首创证券.pdf	52812471	64	88cfc722891fc87d712aeccbe47179c0e74e7fb308f617a2f66caeb27fd4e65d	9b1f5fe3c8e07b76558d3ec8c5ade7e7529af31329bc6cd1b2d6a0db52d57b98	pipeline-txt	success_api_gpu	pdf_text/batch-07/601136.SH
10	ST荃银	300087.SZ	2024	2024年度环境、社会及治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-30/1223414633.PDF	CNINFO	2026-09-04T09:11:35+08:00	第7批次_10_ST荃银.pdf	52687483	65	5bd05071d4557409f7aac65d90dc135e6da39222fe9d64a201bdd87c0c34a82d	e649819997995f4dcc6636494890ffb6c779f57b8f7025e7dfb465f75e09d279	pipeline-txt	success_api_gpu	pdf_text/batch-07/300087.SZ
11	博瑞传播	600880.SH	2024	环境、社会和公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-26/1223313108.PDF	CNINFO	2026-09-04T09:11:58+08:00	第7批次_11_博瑞传播.pdf	52520564	48	1101f0c64b54327a42aaa4095cd71ecc203c210fdee0c4b4662326a0ea7c1ae7	7897976fd7404dabe957d10f5523278fdd602ca4612d1389c0e0fa99630060b1	pipeline-txt	success_api_gpu	pdf_text/batch-07/600880.SH
